base_year_month,time_range,sex,age_range,user_count
201911,09~12,여성,20대 이하,85394
201911,09~12,여성,30대,164031
201911,09~12,여성,40대,171432
201911,09~12,여성,50대,104247
201911,09~12,여성,60대,31782
201911,09~12,여성,70대 이상,6646
201911,12~15,남성,20대 이하,120886
201911,12~15,남성,30대,373580
201911,12~15,남성,40대,446434
201911,12~15,남성,50대,279133
201911,12~15,남성,60대,110914
201911,12~15,남성,70대 이상,28829
201911,12~15,여성,20대 이하,191984
201911,12~15,여성,30대,350583
201911,12~15,여성,40대,388497
201911,12~15,여성,50대,246167
201911,12~15,여성,60대,80215
201911,12~15,여성,70대 이상,17330
201911,15~18,남성,20대 이하,78640
201911,15~18,남성,30대,212046
201911,15~18,남성,40대,224871
201911,15~18,남성,50대,125312
201911,15~18,남성,60대,45516
201911,15~18,남성,70대 이상,10015
201911,15~18,여성,20대 이하,140773
201911,15~18,여성,30대,225928
201911,15~18,여성,40대,247556
201911,15~18,여성,50대,142568
201911,15~18,여성,60대,43559
201911,15~18,여성,70대 이상,9417
201911,18~21,남성,20대 이하,126717
201911,18~21,남성,30대,326719
201911,18~21,남성,40대,399493
201911,18~21,남성,50대,261376
201911,18~21,남성,60대,86937
201911,18~21,남성,70대 이상,17356
201911,18~21,여성,20대 이하,175120
201911,18~21,여성,30대,271330
201911,18~21,여성,40대,328923
201911,18~21,여성,50대,207165
201911,18~21,여성,60대,58469
201911,18~21,여성,70대 이상,10573
201911,21~24,남성,20대 이하,77190
201911,21~24,남성,30대,163197
201911,21~24,남성,40대,182987
201911,21~24,남성,50대,109148
201911,21~24,남성,60대,26130
201911,21~24,남성,70대 이상,2995
201911,21~24,여성,20대 이하,82806
201911,21~24,여성,30대,93522
201911,21~24,여성,40대,106986
201911,21~24,여성,50대,65535
201911,21~24,여성,60대,14778
201911,21~24,여성,70대 이상,2473
201911,기타,남성,20대 이하,49166
201911,기타,남성,30대,90332
201911,기타,남성,40대,106055
201911,기타,남성,50대,64416
201911,기타,남성,60대,20868
201911,기타,남성,70대 이상,3140
201911,기타,여성,20대 이하,47174
201911,기타,여성,30대,51223
201911,기타,여성,40대,56616
201911,기타,여성,50대,37033
201911,기타,여성,60대,10024
201911,기타,여성,70대 이상,1771
201912,09~12,남성,20대 이하,62208
201912,09~12,남성,30대,172389
201912,09~12,남성,40대,192758
201912,09~12,남성,50대,120770
201912,09~12,남성,60대,38749
201912,09~12,남성,70대 이상,7200
201912,09~12,여성,20대 이하,89348
201912,09~12,여성,30대,164412
201912,09~12,여성,40대,171754
201912,09~12,여성,50대,98507
201912,09~12,여성,60대,27834
201912,09~12,여성,70대 이상,5373
201912,12~15,남성,20대 이하,138559
201912,12~15,남성,30대,388479
201912,12~15,남성,40대,471365
201912,12~15,남성,50대,294939
201912,12~15,남성,60대,107663
201912,12~15,남성,70대 이상,27337
201912,12~15,여성,20대 이하,213443
201912,12~15,여성,30대,359981
201912,12~15,여성,40대,404962
201912,12~15,여성,50대,248904
201912,12~15,여성,60대,79360
201912,12~15,여성,70대 이상,16487
201912,15~18,남성,20대 이하,96575
201912,15~18,남성,30대,227693
201912,15~18,남성,40대,244562
201912,15~18,남성,50대,139671
201912,15~18,남성,60대,44727
201912,15~18,남성,70대 이상,9367
201912,15~18,여성,20대 이하,158423
